team_name,train_number,left_right,frame_number,wagon,uic_0_1,uic_label
kosmicznispawacze,57,right,0,0,locomotive,0
kosmicznispawacze,57,right,1,0,locomotive,0
kosmicznispawacze,57,right,2,0,locomotive,0
kosmicznispawacze,57,right,3,0,locomotive,0
kosmicznispawacze,57,right,4,1,0,0
kosmicznispawacze,57,right,5,1,0,0
kosmicznispawacze,57,right,6,1,0,0
kosmicznispawacze,57,right,7,1,0,0
kosmicznispawacze,57,right,8,1,0,0
kosmicznispawacze,57,right,9,1,0,0
kosmicznispawacze,57,right,10,1,0,0
kosmicznispawacze,57,right,11,1,0,0
kosmicznispawacze,57,right,12,1,0,0
kosmicznispawacze,57,right,13,1,0,0
kosmicznispawacze,57,right,14,1,0,0
kosmicznispawacze,57,right,15,1,0,0
kosmicznispawacze,57,right,16,1,0,0
kosmicznispawacze,57,right,17,1,0,0
kosmicznispawacze,57,right,18,1,0,0
kosmicznispawacze,57,right,19,1,0,0
kosmicznispawacze,57,right,20,1,0,0
kosmicznispawacze,57,right,21,1,0,0
kosmicznispawacze,57,right,22,1,0,0
kosmicznispawacze,57,right,23,1,0,0
kosmicznispawacze,57,right,24,1,0,0
kosmicznispawacze,57,right,25,1,0,0
kosmicznispawacze,57,right,26,1,0,0
kosmicznispawacze,57,right,27,1,0,0
kosmicznispawacze,57,right,28,1,0,0
kosmicznispawacze,57,right,29,2,0,0
kosmicznispawacze,57,right,30,2,0,0
kosmicznispawacze,57,right,31,2,0,0
kosmicznispawacze,57,right,32,2,0,0
kosmicznispawacze,57,right,33,2,0,0
kosmicznispawacze,57,right,34,2,0,0
kosmicznispawacze,57,right,35,2,0,0
kosmicznispawacze,57,right,36,2,0,0
kosmicznispawacze,57,right,37,2,0,0
kosmicznispawacze,57,right,38,2,0,0
kosmicznispawacze,57,right,39,2,0,0
kosmicznispawacze,57,right,40,2,0,0
kosmicznispawacze,57,right,41,2,0,0
kosmicznispawacze,57,right,42,2,0,0
kosmicznispawacze,57,right,43,2,0,0
kosmicznispawacze,57,right,44,2,0,0
kosmicznispawacze,57,right,45,2,0,0
kosmicznispawacze,57,right,46,2,0,0
kosmicznispawacze,57,right,47,2,0,0
kosmicznispawacze,57,right,48,2,0,0
kosmicznispawacze,57,right,49,2,0,0
kosmicznispawacze,57,right,50,2,0,0
kosmicznispawacze,57,right,51,2,0,0
kosmicznispawacze,57,right,52,2,0,0
kosmicznispawacze,57,right,53,2,0,0
kosmicznispawacze,57,right,54,2,0,0
kosmicznispawacze,57,right,55,2,0,0
kosmicznispawacze,57,right,56,3,0,0
kosmicznispawacze,57,right,57,3,0,0
kosmicznispawacze,57,right,58,3,0,0
kosmicznispawacze,57,right,59,3,0,0
kosmicznispawacze,57,right,60,3,0,0
kosmicznispawacze,57,right,61,3,0,0
kosmicznispawacze,57,right,62,3,0,0
kosmicznispawacze,57,right,63,3,0,0
kosmicznispawacze,57,right,64,3,0,0
kosmicznispawacze,57,right,65,3,0,0
kosmicznispawacze,57,right,66,3,0,0
kosmicznispawacze,57,right,67,3,0,0
kosmicznispawacze,57,right,68,3,0,0
kosmicznispawacze,57,right,69,3,0,0
kosmicznispawacze,57,right,70,3,0,0
kosmicznispawacze,57,right,71,3,0,0
kosmicznispawacze,57,right,72,3,0,0
kosmicznispawacze,57,right,73,3,0,0
kosmicznispawacze,57,right,74,3,0,0
kosmicznispawacze,57,right,75,3,0,0
kosmicznispawacze,57,right,76,3,0,0
kosmicznispawacze,57,right,77,3,0,0
kosmicznispawacze,57,right,78,3,0,0
kosmicznispawacze,57,right,79,3,0,0
kosmicznispawacze,57,right,80,3,0,0
kosmicznispawacze,57,right,81,4,0,0
kosmicznispawacze,57,right,82,4,0,0
kosmicznispawacze,57,right,83,4,0,0
kosmicznispawacze,57,right,84,4,0,0
kosmicznispawacze,57,right,85,4,0,0
kosmicznispawacze,57,right,86,4,0,0
kosmicznispawacze,57,right,87,4,0,0
kosmicznispawacze,57,right,88,4,0,0
kosmicznispawacze,57,right,89,4,0,0
kosmicznispawacze,57,right,90,4,0,0
kosmicznispawacze,57,right,91,4,0,0
kosmicznispawacze,57,right,92,4,0,0
kosmicznispawacze,57,right,93,4,0,0
kosmicznispawacze,57,right,94,4,0,0
kosmicznispawacze,57,right,95,4,0,0
kosmicznispawacze,57,right,96,4,0,0
kosmicznispawacze,57,right,97,4,0,0
kosmicznispawacze,57,right,98,4,0,0
kosmicznispawacze,57,right,99,4,0,0
kosmicznispawacze,57,right,100,4,0,0
