team_name,train_number,left_right,frame_number,wagon,uic_0_1,uic_label
kosmicznispawacze,0,right,0,0,locomotive,0
kosmicznispawacze,0,right,1,0,locomotive,0
kosmicznispawacze,0,right,2,0,locomotive,0
kosmicznispawacze,0,right,3,0,locomotive,0
kosmicznispawacze,0,right,4,0,locomotive,0
kosmicznispawacze,0,right,5,0,locomotive,0
kosmicznispawacze,0,right,6,0,locomotive,0
kosmicznispawacze,0,right,7,0,locomotive,0
kosmicznispawacze,0,right,8,0,locomotive,0
kosmicznispawacze,0,right,9,0,locomotive,0
kosmicznispawacze,0,right,10,0,locomotive,0
kosmicznispawacze,0,right,11,0,locomotive,0
kosmicznispawacze,0,right,12,0,locomotive,0
kosmicznispawacze,0,right,13,0,locomotive,0
kosmicznispawacze,0,right,14,0,locomotive,0
kosmicznispawacze,0,right,15,0,locomotive,0
kosmicznispawacze,0,right,16,0,locomotive,0
kosmicznispawacze,0,right,17,0,locomotive,0
kosmicznispawacze,0,right,18,1,0,0
kosmicznispawacze,0,right,19,1,0,0
kosmicznispawacze,0,right,20,1,0,0
kosmicznispawacze,0,right,21,1,0,0
kosmicznispawacze,0,right,22,1,0,0
kosmicznispawacze,0,right,23,2,0,0
kosmicznispawacze,0,right,24,2,0,0
kosmicznispawacze,0,right,25,2,0,0
kosmicznispawacze,0,right,26,2,0,0
kosmicznispawacze,0,right,27,2,0,0
kosmicznispawacze,0,right,28,2,0,0
kosmicznispawacze,0,right,29,2,0,0
kosmicznispawacze,0,right,30,2,0,0
kosmicznispawacze,0,right,31,2,0,0
kosmicznispawacze,0,right,32,2,0,0
kosmicznispawacze,0,right,33,2,0,0
kosmicznispawacze,0,right,34,2,0,0
kosmicznispawacze,0,right,35,3,0,0
kosmicznispawacze,0,right,36,3,0,0
kosmicznispawacze,0,right,37,3,0,0
kosmicznispawacze,0,right,38,3,0,0
kosmicznispawacze,0,right,39,3,0,0
kosmicznispawacze,0,right,40,3,0,0
kosmicznispawacze,0,right,41,3,0,0
kosmicznispawacze,0,right,42,3,0,0
kosmicznispawacze,0,right,43,3,0,0
kosmicznispawacze,0,right,44,3,0,0
kosmicznispawacze,0,right,45,3,0,0
kosmicznispawacze,0,right,46,3,0,0
kosmicznispawacze,0,right,47,4,0,0
kosmicznispawacze,0,right,48,4,0,0
kosmicznispawacze,0,right,49,4,0,0
kosmicznispawacze,0,right,50,4,0,0
kosmicznispawacze,0,right,51,4,0,0
kosmicznispawacze,0,right,52,4,0,0
kosmicznispawacze,0,right,53,4,0,0
kosmicznispawacze,0,right,54,4,0,0
kosmicznispawacze,0,right,55,4,0,0
kosmicznispawacze,0,right,56,4,0,0
kosmicznispawacze,0,right,57,4,0,0
kosmicznispawacze,0,right,58,4,0,0
kosmicznispawacze,0,right,59,4,0,0
kosmicznispawacze,0,right,60,4,0,0
kosmicznispawacze,0,right,61,4,0,0
kosmicznispawacze,0,right,62,5,0,0
kosmicznispawacze,0,right,63,5,0,0
kosmicznispawacze,0,right,64,5,0,0
kosmicznispawacze,0,right,65,5,0,0
kosmicznispawacze,0,right,66,5,0,0
kosmicznispawacze,0,right,67,5,0,0
kosmicznispawacze,0,right,68,5,0,0
kosmicznispawacze,0,right,69,5,0,0
kosmicznispawacze,0,right,70,5,0,0
